Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
prs2key,progression,Attribute,,,Prestige,Prestigio,Prestigio
skillPrestige,progression,Attribute,,,Prestige 1 unlocked,Prestigio 1 desbloqueado,Prestigio 1 desbloqueado
skillPrestigedesc,progression,Attribute,,,This is a skill for all those who have decided to start over in search of a greater power.,Esta es una skill para todos aquellos que han decidido comenzar de nuevo en busca de un poder mayor,Esta es una skill para todos aquellos que han decidido comenzar de nuevo en busca de un poder mayor
pr2namekey,progression,Attribute,,,Prestige 2,Prestigio 2,Prestigio 2
prbkeydesc1,progression,Attribute,,,Prestige Attribute,Atributo Prestigio,Atributo Prestigio
prbkeydesc2,progression,Attribute,,,Prestige 2 - Ancient Weapons,Prestigio 2 - Armas Ancestrales,Prestigio 2 - Armas Ancestrales
prbkeydescu,progression,Attribute,,,Prestige Master,Maestro del Prestigio,Maestro del Prestigio
prbkeylongdesc1,progression,Attribute,,,Unlock Prestige Attribute and skills\n\n-50% XP gained,Desbloquea el attributo prestigio y skills\n\n-50% XP ganada,Desbloquea el attributo prestigio y skills\n\n-50% XP ganada
prbkeylongdesc2,progression,Attribute,,,Unlock Craft and usage of Ancient Items\n\n-75% XP gained,Desbloquea la creacion y uso de los Items Ancestrales\n\n-75% XP ganada,Desbloquea la creacion y uso de los Items Ancestrales\n\n-75% XP ganada
prbkeylongdescu,progression,Attribute,,,You have master all the prestiges in the server!, Has maestreado todos los presgios del servidor!, Has maestreado todos los presgios del servidor!

prs2perk,progression,Attribute,,,Prestige Attribute Buy: 1,Atributo Prestigio Comprar: 1 Punto,Atributo Prestigio Comprar: 1 Punto
prs2perkdesc,progression,Attribute,,,Unlock Prestige,Desbloquea el Prestigio,Desbloquea el Prestigio
prs2perklongdesc,progression,Attribute,,,"Once you reach max lvl you can ask an admin to reset your character in exchange for new skills and items! But carefull because you will win less experience once you apply it!","Una ves que llegues a lvl maximo puedes pedirle a un admin que te haga un reset a cambio de nuevas skills de prestigio, ¡Pero cuidado una vez que lo hagas recibirás menos experiencia una vez lo apliques!","Una ves que llegues a lvl maximo puedes pedirle a un admin que te haga un reset a cambio de nuevas skills de prestigio, ¡Pero cuidado una vez que lo hagas recibirás menos experiencia una vez lo apliques!"
Phys,progression,Attribute,,,Physical,Fisico,Fisico
Ment,progression,Attribute,,,Arts,Artes,Artes
Rang,progression,Attribute,,,Specialist,Especialista,Especialista
perkMHS,progression,Attribute,,,Status Master,Maestro de los Status,Maestro de los Status
perkMHSinfo,progression,Attribute,,,Now you can get the maximun Life and Stamina!,Ahora puedes aumentar tu vida y resistencia al Máximo,Ahora puedes aumentar tu vida y resistencia al Máximo
perkMHSdec1,progression,Attribute,,,+ 10 Maximum HP/ST,+ 10 HP/ST Máximo,+ 10 HP/ST Máximo
perkMHSdec2,progression,Attribute,,,+ 20 Maximum HP/ST,+ 20 HP/ST Máximo,+ 20 HP/ST Máximo
perkMHSdec3,progression,Attribute,,,+ 30 Maximum HP/ST,+ 30 HP/ST Máximo,+ 30 HP/ST Máximo
perkMHSdec4,progression,Attribute,,,+ 40 Maximum HP/ST,+ 40 HP/ST Máximo,+ 40 HP/ST Máximo
perkMHSdec5,progression,Attribute,,,+ 50 Maximum HP/ST,+ 50 HP/ST Máximo,+ 50 HP/ST Máximo
perkMHSlongdec1,progression,Attribute,,,Increase your maximum health and stamine by 10,Incrementa tu máximo de vida y aguante en 10,Incrementa tu máximo de vida y aguante en 10
perkMHSlongdec2,progression,Attribute,,,Increase your maximum health and stamine by 20,Incrementa tu maximo de vida y aguante en 20,Incrementa tu maximo de vida y aguante en 20
perkMHSlongdec3,progression,Attribute,,,Increase your maximum health and stamine by 30,Incrementa tu máximo de vida y aguante en 30,Incrementa tu máximo de vida y aguante en 30
perkMHSlongdec4,progression,Attribute,,,Increase your maximum health and stamine by 40,Incrementa tu máximo de vida y aguante en 40,Incrementa tu máximo de vida y aguante en 40
