Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
playerLPorchLight01,blocks,Light,,,Old Fashion Porch Light,Luz de pórtico de moda antigua
playerLPorchLight04,blocks,Light,,,Porch Light,Luz del porche
playerLPorchLight04Brass,blocks,Light,,,Brass Porch Light,Luz de pórtico de latón,Luz de pórtico de latón
playerLCeilingLight01,blocks,Light,,,Bare Ceiling Light,Luz de techo desnuda,Luz de techo desnuda
playerLCeilingLight02,blocks,Light,,,Covered Ceiling Light,Luz de techo cubierta,Luz de techo cubierta
playerLCeilingLight02Brass,blocks,Light,,,Brass Covered Ceiling Light,Luz de techo cubierta de latón,Luz de techo cubierta de latón
playerLCeilingLight04,blocks,Light,,,Ceiling Light,Lámpara de techo,Lámpara de techo
playerLCeilingLight05,blocks,Light,,,Ceiling Light,Lámpara de techo,Lámpara de techo
playerLCeilingLight05Brass,blocks,Light,,,Brass Ceiling Light,Luz de techo de latón,Luz de techo de latón
playerLRecessedLight,blocks,Light,,,Recessed Light,Luz empotrada,Luz empotrada
playerLWallLight,blocks,Light,,,Wall Light,Luz de pared,Luz de pared
playerLFluorescentLight01,blocks,Light,,,Fluorescent Light,Luz fluorescente,Luz fluorescente
playerLFluorescentLight02,blocks,Light,,,Hanging Fluorescent Light,Luz fluorescente colgante,Luz fluorescente colgante
playerLTrackLight,blocks,Light,,,Track Lighting,Iluminación de la pista,Iluminación de la pista
playerLStreetLight01,blocks,Light,,,Street Light,Luz de la calle,Luz de la calle
playerLStreetLightClassic,blocks,Light,,,Classic Street Light,Farola clásica,Farola clásica
playerLIndustrialLight,blocks,Light,,,Industrial Light 01,Luz industrial 01,Luz industrial 01
playerLSconceLight,blocks,Light,,,Sconce Light,Aplique de luz,Aplique de luz
playerLSconceLightShadow,blocks,Light,,,Shadowed Sconce Light,Luz de aplique sombreada,Luz de aplique sombreada
playerLIndustrialLight02,blocks,Light,,,Industrial Light 02,Luz industrial 02,Luz industrial 02
playerLIndustrialLight02Red,blocks,Light,,,Industrial Light 02 Red,Luz industrial 02 rojo,Luz industrial 02 rojo
playerLCeilingFanLight,blocks,Light,,,Ceiling Fan,Ventilador de techo,Ventilador de techo
playerLChandelierLight,blocks,Light,,,Chandelier,Candelabro,Candelabro
playerLExitSign,blocks,Light,,,Exit Sign,Señal de salida,Señal de salida
playerLRoadBarricade,blocks,Light,,,Road Barricade,Barricada del camino,Barricada del camino
playerLDeskLamp,blocks,Light,,,Desk Lamp,Lámpara de escritorio,Lámpara de escritorio
playerLTableLamp,blocks,Light,,,Table Lamp,Lámpara de mesa,Lámpara de mesa
playerLWorkLight,blocks,Light,,,Work Light,Luz de trabajo,Luz de trabajo
playerLSignShopOpen,blocks,Light,,,Shop Sign,Señal de tienda,Señal de tienda
playerLSpotlightPlayer,blocks,Light,,,Spotlight 02,Foco 02,Foco 02
playerLFuseBox,blocks,Light,,,Fusebox,Fusebox,Sicherungskasten,Caja de fusibles,Caja de fusibles
playerLFuseBlock,blocks,Light,,,Fuse Block,Bloc de fusible,Sicherungsblock,Cuadro de luces o fusibles,Cuadro de luces o fusibles
decoVariant_Beds,blocks,Deco,,,Portable beds variant,Variante de camas portables,Variante de camas portables
bed02take,blocks,Deco,,,King Size Bed (Portable),Cama king size (Portable),Cama king size (Portable)
bunkBedMadetake,blocks,Deco,,,"Bunk Bed, Made (,blocks,Deco,,,)","Cama, tendida (Portable)","Cama, tendida (Portable)"
bed01take,blocks,Deco,,,An Old Bed (Portable),Una cama vieja (Portable),Una cama vieja (Portable)
decoVariant_KitchenFurniture,blocks,Deco,,,[Decorative] Kitchen and Restroom,[Decorativo] Cocina y Baño,[Decorativo] Cocina y Baño
decoVariant_HomeFurniture,blocks,Deco,,,[Decorative] House Furniture,[Decorativo] Muebles de casa,[Decorativo] Muebles de casa
decoVariant_Construction,blocks,Deco,,,[Decorative] Materials and Construcction,[Decorativo] Material y Construccion,[Decorativo] Material y Construccion
decoVariant_Pipes,blocks,Deco,,,[Decorative] Pipes and Conduits,[Decorativo] Tuberias y Conductos,[Decorativo] Tuberias y Conductos
decoVariant_Conduit,blocks,Deco,,,[Decorative] Conduits,[Decorativo] Conductos,[Decorativo] Conductos
decoVariant_Technology,blocks,Deco,,,[Decorative] Technology,[Decorativo] Tecnologia,[Decorativo] Tecnologia
decoVariant_Shop,blocks,Deco,,,[Decorative] Shops,[Decorativo] Tiendas,[Decorativo] Tiendas
decoVariant_Cloth,blocks,Deco,,,[Decorative] Cloth,[Decorativo] Ropa,[Decorativo] Ropa
decoVariant_Sign,blocks,Deco,,,[Decorative] Signs and painting,[Decorativo] Carteles y pinturas,[Decorativo] Carteles y pinturas
decoVariant_extra,blocks,Deco,,,[Decorative] Special,[Decorativo] Especial,[Decorativo] Especial
decoVariant__Player,blocks,Deco,,,[Decorative] Shelves,[Decorativo] Estanterias,[Decorativo] Estanterias
decoVariant_chest,blocks,Deco,,,[Decorative] Containers and Backpacks,[Decorativo] Contenedores y Mochilas,[Decorativo] Contenedores y Mochilas
decoVariant_plants,blocks,Deco,,,[Decorative] Garden and Desert,[Decorativo] Jardin y Desierto,[Decorativo] Jardin y Desierto
decoVariant_Lights,blocks,Deco,,,[Decorative] Usable Lights,[Decorativo] Luces funcionales
decoVariant_Doors,blocks,Deco,,,[Decorative] Simple doors,[Decorativo] Puertas simples
decoVariant_scary,blocks,Deco,,,[Decorative] Scary Stuffs,[Decorativo] Cosas Aterradoras,[Decorativo] Cosas Aterradoras
specialPoweredDoorsVariantHelper,blocks,Deco,,,Special Powered doors,Puetas especiales de alimentación
decoVariant_TrashCointainers,blocks,Deco,,,[Decorative] Trash Containers,[Decorativo] Contenedores de basura
decoVariant_SimpleVehicles,blocks,Deco,,,[Decorative] Simple Vehicles,[Decorativo] Vehiculos simples
decoVariant_Flags,blocks,Deco,,,[Decorative] Flags,[Decorativo] Banderas
decoVariant_Tents,blocks,Deco,,,[Decorative] Tents,[Decorativo] Tiendas de campaña
decoVariant_Structures,blocks,Deco,,,[Decorative] Structures,[Decorativo] Estructuras
decoVariant_Pallets,blocks,Deco,,,[Decorative] Pallets,[Decorativo] Palets

medeui,UI,Tooltip,,,[Decoratives] ,[Decorativos],[Decorativos]
meexui,UI,Tooltip,,,[Special] ,[Especial],[Especial]
decomachine,blocks,workstation,,,[Decorative Maker],[Creadora de decorativos],[Creadora de decorativos]
decomachineDesc,blocks,description,,,This machine is used to create decoratives in enchange for old cash!,Esta maquina es usada para crear decorativos a cambio de moneda antigua!,Esta maquina es usada para crear decorativos a cambio de moneda antigua!
Decokit,items,kit,,,[Event] Decorative kit,[Evento] Kit de decorativos,[Evento] Kit de decorativos
DecokitDesc,items,desc,,,This is an special kit to check all docoratives in the server!\n\n[D13A3A]WARNING![-]Be sure to have at least 22 spaces on inventory or item can fly away!,Este es un kit especial para mostrar todos los decorativos del servidor!\n\n[D13A3A]ADVERTENCIA![-]Asegurate de tener por lo menos 22 espacios en inventario o los items podrian dispersarse!
poleTop05,blocks,Block,,,Pole Top,Parte superior de poste,Parte superior de poste
signPillsLogoSmall,blocks,Block,,,Pills logo Small,Logo de pildoras pequeño,Logo de pildoras pequeño
