Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
playerLPorchLight01,blocks,Light,,,Old Fashion Porch Light,Luz de pórtico de moda antigua,Luz de pórtico de moda antigua
playerLPorchLight04,blocks,Light,,,Porch Light,Luz del porche,Luz del porche
playerLPorchLight04Brass,blocks,Light,,,Brass Porch Light,Luz de pórtico de latón,Luz de pórtico de latón
playerLCeilingLight01,blocks,Light,,,Bare Ceiling Light,Luz de techo desnuda,Luz de techo desnuda
playerLCeilingLight02,blocks,Light,,,Covered Ceiling Light,Luz de techo cubierta,Luz de techo cubierta
playerLCeilingLight02Brass,blocks,Light,,,Brass Covered Ceiling Light,Luz de techo cubierta de latón,Luz de techo cubierta de latón
playerLCeilingLight04,blocks,Light,,,Ceiling Light,Lámpara de techo,Lámpara de techo
playerLCeilingLight05,blocks,Light,,,Ceiling Light,Lámpara de techo,Lámpara de techo
playerLCeilingLight05Brass,blocks,Light,,,Brass Ceiling Light,Luz de techo de latón,Luz de techo de latón
playerLRecessedLight,blocks,Light,,,Recessed Light,Luz empotrada,Luz empotrada
playerLWallLight,blocks,Light,,,Wall Light,Luz de pared,Luz de pared
playerLFluorescentLight01,blocks,Light,,,Fluorescent Light,Luz fluorescente,Luz fluorescente
playerLFluorescentLight02,blocks,Light,,,Hanging Fluorescent Light,Luz fluorescente colgante,Luz fluorescente colgante
playerLTrackLight,blocks,Light,,,Track Lighting,Iluminación de la pista,Iluminación de la pista
playerLStreetLight01,blocks,Light,,,Street Light,Luz de la calle,Luz de la calle
playerLStreetLightClassic,blocks,Light,,,Classic Street Light,Farola clásica,Farola clásica
playerLIndustrialLight,blocks,Light,,,Industrial Light 01,Luz industrial 01,Luz industrial 01
playerLSconceLight,blocks,Light,,,Sconce Light,Aplique de luz,Aplique de luz
playerLSconceLightShadow,blocks,Light,,,Shadowed Sconce Light,Luz de aplique sombreada,Luz de aplique sombreada
playerLIndustrialLight02,blocks,Light,,,Industrial Light 02,Luz industrial 02,Luz industrial 02
playerLIndustrialLight02Red,blocks,Light,,,Industrial Light 02 Red,Luz industrial 02 rojo,Luz industrial 02 rojo
playerLCeilingFanLight,blocks,Light,,,Ceiling Fan,Ventilador de techo,Ventilador de techo
playerLChandelierLight,blocks,Light,,,Chandelier,Candelabro,Candelabro
playerLExitSign,blocks,Light,,,Exit Sign,Señal de salida,Señal de salida
playerLRoadBarricade,blocks,Light,,,Road Barricade,Barricada del camino,Barricada del camino
playerLDeskLamp,blocks,Light,,,Desk Lamp,Lámpara de escritorio,Lámpara de escritorio
playerLTableLamp,blocks,Light,,,Table Lamp,Lámpara de mesa,Lámpara de mesa
playerLWorkLight,blocks,Light,,,Work Light,Luz de trabajo,Luz de trabajo
playerLSignShopOpen,blocks,Light,,,Shop Sign,Señal de tienda,Señal de tienda
playerLSpotlightPlayer,blocks,Light,,,Spotlight 02,Foco 02,Foco 02
playerLFuseBox,blocks,Light,,,Fusebox,Fusebox,Sicherungskasten,Caja de fusibles,Caja de fusibles
playerLFuseBlock,blocks,Light,,,Fuse Block,Bloc de fusible,Sicherungsblock,Cuadro de luces o fusibles,Cuadro de luces o fusibles
bed02take,blocks,Deco,,,King Size Bed (Portable),Cama king size (Portable),Cama king size (Portable)
bunkBedMadetake,blocks,Deco,,,"Bunk Bed, Made (Portable)","Cama, tendida (Portable)","Cama, tendida (Portable)"
bed01take,blocks,Deco,,,An Old Bed (Portable),Una cama vieja (Portable),Una cama vieja (Portable)
decoVariant_KitchenFurniture,blocks,Deco,,,[Decorative] Kitchen and Restroom,[Decorativo] Cocina y Baño,[Decorativo] Cocina y Baño
decoVariant_HomeFurniture,blocks,Deco,,,[Decorative] House Furniture,[Decorativo] Muebles de casa,[Decorativo] Muebles de casa
decoVariant_Construction,blocks,Deco,,,[Decorative] Materials and Construcction,[Decorativo] Material y Construccion,[Decorativo] Material y Construccion


decoVariant_Technology,blocks,Deco,,,[Decorative] Technology,[Decorativo] Tecnologia,[Decorativo] Tecnologia
decoVariant_Shop,blocks,Deco,,,[Decorative] Shops,[Decorativo] Tiendas,[Decorativo] Tiendas
decoVariant_Cloth,blocks,Deco,,,[Decorative] Cloth,[Decorativo] Ropa,[Decorativo] Ropa
decoVariant_Sign,blocks,Deco,,,[Decorative] Signs and painting,[Decorativo] Carteles y pinturas,[Decorativo] Carteles y pinturas
decoVariant_extra,blocks,Deco,,,[Decorative] Special,[Decorativo] Especial,[Decorativo] Especial
decoVariant_deco,blocks,Deco,,,[Decorative] Shelves and Freezers,[Decorativo] Estanterias y Congeladores,[Decorativo] Estanterias y Congeladores
decoVariant_chest,blocks,Deco,,,[Decorative] Containers and Backpacks,[Decorativo] Contenedores y Mochilas,[Decorativo] Contenedores y Mochilas
decoVariant_plants,blocks,Deco,,,[Decorative] Plants and Desert,[Decorativo] Plantas y Desierto,[Decorativo] Plantas y Desierto
decoVariant_Lights,blocks,Deco,,,[Decorative] Usable Lights,[Decorativo] Luces funsionales,[Decorativo] Luces funsionales
decoVariant_Doors,blocks,Deco,,,[Decorative] Doors and trims,[Decorativo] Puertas y marcos,[Decorativo] Puertas y marcos
decoVariant_scary,blocks,Deco,,,[Decorative] Scary Stuffs,[Decorativo] Cosas Aterradoras,[Decorativo] Cosas Aterradoras
medeui,UI,Tooltip,,,[Decoratives] ,[Decorativos],[Decorativos]
meexui,UI,Tooltip,,,[Special] ,[Especial],[Especial]
decomachine,blocks,workstation,,,[Decorative Maker],[Creadora de decorativos],[Creadora de decorativos]
decomachineDesc,blocks,description,,,This machine is used to create decoratives in enchange for old cash!,Esta maquina es usada para crear decorativos a cambio de moneda antigua!,Esta maquina es usada para crear decorativos a cambio de moneda antigua!
Decokit,items,kit,,,[Event] Decorative kit,[Evento] Kit de decorativos,[Evento] Kit de decorativos
DecokitDesc,items,desc,,,This is an special kit to check all docoratives in the server!\n\nBe sure to have at least 15 spaces on inventory or item can fly away!,Este es un kit especial para mostrar todos los decorativos del servidor!\n\nAsegurate de tener por lo menos 15 espacios en inventario o los items podrian dispersarse!,Este es un kit especial para mostrar todos los decorativos del servidor!\n\nAsegurate de tener por lo menos 15 espacios en inventario o los items podrian dispersarse!
poleTop05,blocks,Block,,,Pole Top,Parte superior de poste,Parte superior de poste
signPillsLogoSmall,blocks,Block,,,Pills logo Small,Logo de pildoras pequeño,Logo de pildoras pequeño
signPillsLogo,blocks,Block,,,Pills logo,Logo de pildoras,Logo de pildoras
signPillsLogoSmall2,blocks,Block,,,Pills logo Small,Logo de pildoras pequeño,Logo de pildoras pequeño
signPillsLogo2,blocks,Block,,,Pills logo,Logo de pildoras,Logo de pildoras
cntShoesPileSandalsdeco,blocks,Block,,,[Decorative] Shoes 05,[Decorativo] Decoracion de Zapatos 5,[Decorativo] Decoracion de Zapatos 5
cntShoesPileWomensHeelsdeco,blocks,Block,,,[Decorative] Shoes 04,[Decorativo] Decoracion de Zapatos 4,[Decorativo] Decoracion de Zapatos 4
cntShoesPileSneakersdeco,blocks,Block,,,[Decorative] Shoes 03,[Decorativo] Decoracion de Zapatos 3,[Decorativo] Decoracion de Zapatos 3
cntShoesPileLeatherBootsdeco,blocks,Block,,,[Decorative] Shoes 02,[Decorativo] Decoracion de Zapatos 2,[Decorativo] Decoracion de Zapatos 2
cntShoesPileBusinessShoesdeco,blocks,Block,,,[Decorative] Shoes 01,[Decorativo] Decoracion Zapatos 1,[Decorativo] Decoracion Zapatos 1
cntShoesPileCommercial01deco,blocks,Block,,,[Decorative] Shoes Pile 01,[Decorativo] Decoracion Pila de Zapatos 1,[Decorativo] Decoracion Pila de Zapatos 1
cntShoesPileCommercial02deco,blocks,Block,,,[Decorative] Shoes Pile 02,[Decorativo] Decoracion Pila de Zapatos 2,[Decorativo] Decoracion Pila de Zapatos 2
cntShippingCrateBookstoredeco,blocks,Block,,,[Decorative] Books Box,[Decorativo] Caja de Libros,[Decorativo] Caja de Libros
cntShippingCrateCarPartsdeco,blocks,Block,,,[Decorative] Car part Box,[Decorativo] Caja de Partes de auto,[Decorativo] Caja de Partes de auto
cntShippingCrateLabEquipmentdeco,blocks,Block,,,[Decorative] Lab equip Box,[Decorativo] Caja de Laboratorio,[Decorativo] Caja de Laboratorio
cntShippingCrateMoPowerElectronicsdeco,blocks,Block,,,[Decorative] Electric parts Box,[Decorativo] Caja de suministros,[Decorativo] Caja de suministros
cntShippingCrateSavageCountrydeco,blocks,Block,,,[Decorative] Savage Country Box,[Decorativo] Caja de Savage Country,[Decorativo] Caja de Savage Country
cntShippingCrateShamwaydeco,blocks,Block,,,[Decorative] Food Box,[Decorativo] Caja de comida,[Decorativo] Caja de comida
cntShippingCrateShotgunMessiahdeco,blocks,Block,,,[Decorative] Weapon Box,[Decorativo] Caja de armas,[Decorativo] Caja de armas
cntShippingCrateWorkingStiffsdeco,blocks,Block,,,[Decorative] Tool Box,[Decorativo] Caja de herramientas,[Decorativo] Caja de herramientas
cntAmmoPileSmalldeco,blocks,Block,,,[Decorative] Pile of Ammon 1,[Decorativo] Pila de municion 1,[Decorativo] Pila de municion 1
cntAmmoPileMediumdeco,blocks,Block,,,[Decorative] Pile of Ammon 2,[Decorativo] Pila de municion 2,[Decorativo] Pila de municion 2
cntAmmoPileLargedeco,blocks,Block,,,[Decorative] Pile of Ammon 3,[Decorativo] Pila de municion 3,[Decorativo] Pila de municion 3
cntMedicalPileSmalldeco,blocks,Block,,,[Decorative] Lab Pile 1,[Decorativo] Pila de laboratorio 1,[Decorativo] Pila de laboratorio 1
cntMedicalPileMediumdeco,blocks,Block,,,[Decorative] Lab Pile 2,[Decorativo] Pila de laboratorio 2,[Decorativo] Pila de laboratorio 2
cntMedicalPileLargedeco,blocks,Block,,,[Decorative] Lab Pile 3,[Decorativo] Pila de laboratorio 3,[Decorativo] Pila de laboratorio 3
cntMedicLootPileAdeco,blocks,Block,,,[Decorative] Medical Pile 1,[Decorativo] Pila de medicamentos 1 ,[Decorativo] Pila de medicamentos 1
cntMedicLootPileBdeco,blocks,Block,,,[Decorative] Medical Pile 2,[Decorativo] Pila de medicamentos 2,[Decorativo] Pila de medicamentos 2
cntFoodPileSmalldeco,blocks,Block,,,[Decorative] Pile of Food 1,[Decorativo] Pila de comida 1,[Decorativo] Pila de comida 1
cntFoodPileMediumdeco,blocks,Block,,,[Decorative] Pile of Food 2,[Decorativo] Pila de comida 2,[Decorativo] Pila de comida 2
cntFoodPileLargedeco,blocks,Block,,,[Decorative] Pile of Food 3,[Decorativo] Pila de comida 3,[Decorativo] Pila de comida 3
cntBookPile01deco,blocks,Block,,,[Decorative] Pile of Book 1,[Decorativo] Pila de libros 1,[Decorativo] Pila de libros 1
cntBookPile02deco,blocks,Block,,,[Decorative] Pile of Book 2,[Decorativo] Pila de libros 2,[Decorativo] Pila de libros 2
cntBookPile03deco,blocks,Block,,,[Decorative] Pile of Book 3,[Decorativo] Pila de libros 3,[Decorativo] Pila de libros 3
cntBookPile04deco,blocks,Block,,,[Decorative] Pile of Book 4,[Decorativo] Pila de libros 4,[Decorativo] Pila de libros 4
