Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
Caja de seguridad,blocks,Block,,,Security Storage,Almacen de Seguridad
Cajadeseguridad2,blocks,Block,,,Incecured Storage ,Almacen de Seguridad Abierto
CSVariantHelper,blocks,Block,,,Security Storage,Almacen de Seguridad
CSVariantHelperDesc,blocks,Block,,,An Special Security storage variant\nThis storage have 90 capacity and can take lot of damage before its breaks\n\nHold R to change it to diffent forms,Este es un variante especial de almacen de seguridad\nEste almacen tiene 90 espacios y soporta mucho antes de romperse\n\nManten la R poder elejir diferentes formas del mismo.
CSSigned,blocks,Block,,,Security Storage Signed,Almacen de Seguridad Escribible
CSCrateBook,blocks,Block,,,Security Storage Crack a Book,Almacen de Seguridad Crack a Book
CSCrateCarParts,blocks,Block,,,Security Storage Pass n Gas,Almacen de Seguridad Pass n Gas
CSCrateLab,blocks,Block,,,Security Storage Pop n Pills,Almacen de Seguridad Pop n Pills
CSCrateMoPower,blocks,Block,,,Security Storage MoPower,Almacen de Seguridad MoPower
CSCrateSavageC,blocks,Block,,,Security Storage Savage Country,Almacen de Seguridad Savage Country
CSCrateShamway,blocks,Block,,,Security Storage Shamway,Almacen de Seguridad Shamway
CSCrateShotgunMessiah,blocks,Block,,,Security Storage ShotgunMessiah,Almacen de Seguridad ShotgunMessiah
CSCrateWorkingStiff,blocks,Block,,,Security Storage Working Stiff,Almacen de Seguridad Working Stiff
cntWallSafe2,blocks,Block,,,Wall Safe,Caja fuerte empotrable
cntDeskSafe2,blocks,Block,,,Desk Safe,Caja fuerte de escritorio
cntGunSafe2,blocks,Block,,,Gun Safe,Caja fuerte de armas



