Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
AguaDivina(consumible),items,consumable,,,[Consumable] Divine Water ,[Consumible] Agua Divina
juguito_de_chale,items,Gun,,,Chale´s Juice,Juguito de Chale
Pistola_electrica,items,Gun,,,Stun Pistol,Pistola Electrica
Kit de Inicio,items,Gun,,,Starter kit,Kit de Inicio
Kit de InicioDesc,items,Gun,,,This item is used to craft class with starter items\nTo use it Press A to see all the Classes and selecto one to craft it\nEach Class will a summary of the items it gives on the description\nCheck our discord for more info about it and to see a picture with the Class Items\n\nhttps://discord.gg/fCQ6tPD,Este nota se usa para crear una clase que da items para comenzar tu aventura\nPara usarlo presiona A para ver todas las clases y selecciona una para craftearla\nCada clase tiene un resumen de los items que da en su descripcion\nRevisa nuestro discord para mas informacion asi como imagenes con los items de cada clase\n\nhttps://discord.gg/fCQ6tPD
CCDesc,items,Desc,,, Esta clase generara ítems de comida y ropa básica además de utilida de construcción para tu base \n\nITEMS: Pistola / 100 balas 9mm / Hormigonera  / Hacha / Martillo / Pistola de Clavo / 12k Madera / 6k Hierro / 3k Adoquín / 1k Concreto / 2x Elixir de Abuelo XP / Esquema de Hormigonera\n\n//-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de construcción para tu base \n\nITEMS: Pistola / 100 balas 9mm / Hormigonera  / Hacha / Martillo / Pistola de Clavo / 12k Madera / 6k Hierro / 3k Adoquín / 1k Concreto / 2x Elixir de Abuelo XP / Esquema de Hormigonera\n\n//-- Foto con sus items en Discord--//
CIDesc,items,Desc,,, Esta clase generara ítems de comida y ropa básica además de utilidad eléctrica\n\nITEMS: Pistola / 150 balas  9mm / Ballesta Compuesta / 150 Saetas de acero / Mesa de Trabajo / Bicicleta / Llave Inglesa / Banco Generador / Pinzas de electricidad / Receta Mesa de trabajo /Kit de recetas eléctricas \n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de utilidad eléctrica\n\nITEMS: Pistola / 150 balas  9mm / Ballesta Compuesta / 150 Saetas de acero / Mesa de Trabajo / Bicicleta / Llave Inglesa / Banco Generador / Pinzas de electricidad / Receta Mesa de trabajo /Kit de recetas eléctricas \n\n//-- Foto con sus items en Discord --//
CGDesc,items,Desc,,,Esta clase generara ítems de comida y ropa básica además de utilidad de granja\n\nITEMS: Pistola / 100 balas 9mm / Barrena / Arco Primitivo / 150 Flechas de piedra / Kit de Comidas / Kit de Bebidas del Abuelo/ 5 Maíz y papas / 10 Cubos de granja / kit de recetas de semillas / kit de recetas del abuelo\n\n//-- Foto con sus items en Discord--//,Esta clase generara ítems de comida y ropa básica además de utilidad de granja\n\nITEMS: Pistola / 100 balas 9mm / Barrena / Arco Primitivo / 150 Flechas de piedra / Kit de Comidas / Kit de Bebidas del Abuelo/ 5 Maíz y papas / 10 Cubos de granja / kit de recetas de semillas / kit de recetas del abuelo\n\n//-- Foto con sus items en Discord --//
CTDesc,items,Desc,,,Esta clase generara ítems de comida y ropa básica además de combate dirigió a agilidad y pistola\n\nITEMS: Pistola / SMG-5 / 700 bala HP 9mm / FULL set de armadura Militar\n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de ítems de combate dirigió a agilidad y pistola\n\nITEMS: Pistola / SMG-5 / 700 bala HP 9mm / FULL set de armadura Militar\n\n//-- Foto con sus items en Discord--//
CCaDesc,items,Desc,,,Esta clase generara ítems de comida y ropa básica además de combate dirigió rifle con sigilo\n\nITEMS: Rifle de caza / Arco de madera / 100 bala 7.62mm / 300 Flechas de Piedra / Mod Silenciador! / Mod Mira x4 / Mod Cazador / FULL Set Armadura de Piel\n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de ítems de combate dirigió rifle con sigilo\n\nITEMS: Rifle de caza / Arco de madera / 100 bala 7.62mm / 300 Flechas de Piedra / Mod Silenciador! / Mod Mira x4 / Mod Cazador / FULL Set Armadura de Piel\n\n //-- Foto con sus items en Discord--//
