Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
Sniper_Test,items,Gun,,,Sniper test (in),Sniper test (sp)
buffxpstn,buffs,Buff,,,New Hooligan,Nuevo Hooligan
buffxpstdesc,buffs,Buff,,,This buff will give you +50% xp until lvl 100,Esta buff te dara 50% extra de experiencia hasta el lvl 100
INDN,buffs,Buff,,,Divine Inmortality,Inmortalidad Divina
INDNDesc,Buff,Buff,,,Immortal for some seconds use them wisely,No podras morir usa sabiamente estos segundos
op1,buffs,Buff,,,Divine Streng,Fuerza Divina
op2,buffs,Buff,,,Divine Speed,Velocidad Divina
op3,buffs,Buff,,,Divine Protection,Proteccion Divina
op1desc,buffs,Buff,,,"You feel the divine might\n\nAll main attributes +1\nDamage done x4\nDefences +50","Sientes el poder divino\n\nTodos los perk principal +2\nDaño aumentado x4\nDefensa aumentada en 50!"
op2desc,buffs,Buff,,,Overload speed\n\nSpeed ​​increased!\nIncreased Stamina Regeneration\nTrade improved by 30%! *They won't be able to ask you for the money if they can't catch you*,"Velocidad de sobrecarga\n\nVelocidad aumentadas!\nRegeneracion de Stamina Aumentada\nComercio mejorado en 30%! *no podran pedirte el dinero si no logran atraparte*"
op3desc,buffs,Buff,,,Protection blessing\n\nComplete elemental\nStamine cost reduced\nMaximun Carry capacity\nExperience gained increased by 50% !!,"Bendicion de proteccion\n\nProteccion elemental completa\nReduccion en costo de estamina\nCapacidad de carga maxima\nExperiencia ganada aumentada en 50%!!"
Pistola Legendaria,items,Gun,,,[Legend] Pistol,[Legendario] Revolver
LWDS,items,Gun,,,One of the Legendary weapon that can be crafthed only by a true master\n\nTier 1 weapons have +5% damage vs zombies\nTier 2 weapons have +10% damage vs zombies,Una de las armas legendarias que solo puede ser creada por un verdadero maestro\n\nLas Armas Tier 1 tienen +5% daño vs zombies\nLas Armas Tier 2 tienen +10% daño vs zombies
LWDMYT,items,Gun,,,"One of the Mytic weapons there is nothing stronger than this, once you have it you cant be stoped anymore\n\nTier Mytic weapons have +20% damage vs zombies","Una de las armas Miticas, una vez que tienes una nada puede puede detenerte!\n\n Las Armas Tier Mitico tienen +20% daño vs zombies"
LTDesc,items,Gun,,,One of the Legendary tools that can be crafthed only by a true master,Una de las herramientas legendarias que solo puede ser creada por un verdadero maestro
UGLDesc,items,Gun,,,Definitive glasses that conbine all glasses and give extra xp/loot/trasure range,Lentes definitivos que convinan todos los bonus de lo lentes ademas de dar xp/loot/radio de tesoros adicional
UGLDesc2,items,Gun,,,Definitive glasses with extra night vision,Lentes definitivos con vision nocturna
ESQLDesc,items,Gun,,,This is an schematic used to craft a legend weapon tier 2\nThis item cant be read and will be consumed when you craft the weapon,Este item es un esquema para un arma legendaria Tier 2\nEste Item no puede ser leido y sera consumido cuando creas el arma
Recortada Legendaria,items,Gun,,,[Legend] Sawed-off,[Legendario] Recortada
Rifle Legendario,items,Gun,,,[Legend] Hunting Rifle,[Legendario] Rifle de Caza
AK47 Legendaria,items,Gun,,,[Legend] AK47,[Legendario] AK47
Magnum44 Legendaria,items,Gun,,,[Legend] Magnum44,[Legendario] Magnum44
SMG5_Legendaria,items,Gun,,,[Legend] SMG-5,[Legendario] SMG-5
