Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
Sniper_Test,items,Gun,,,Sniper test (in),Sniper test (sp)
buffxpstn,buffs,Buff,,,New Hooligan,Nuevo Hooligan,Nuevo Hooligan
buffxpstdesc,buffs,Buff,,,This buff will give you +50% xp until lvl 100,Ésta buff te dará 50% extra de experiencia hasta el lvl 100,Ésta buff te dará 50% extra de experiencia hasta el lvl 100
INDN,buffs,Buff,,,Divine Inmortality,Inmortalidad Divina,Inmortalidad Divina
INDNDesc,Buff,Buff,,,Immortal for some seconds use them wisely,No podrás morir usa sabiamente estos segundos,No podrás morir usa sabiamente estos segundos
op1,buffs,Buff,,,Divine Streng,Fuerza Divina,Fuerza Divina
op2,buffs,Buff,,,Divine Speed,Velocidad Divina,Velocidad Divina
op3,buffs,Buff,,,Divine Protection,Protección Divina,Protección Divina
op1desc,buffs,Buff,,,"You feel the divine might\n\nAll main attributes +1\nDamage done x4\nDefences +50","Sientes el poder divino\n\nTodos los perk principal +2\nDaño aumentado x4\nDefensa aumentada en 50!","Sientes el poder divino\n\nTodos los perk principal +2\nDaño aumentado x4\nDefensa aumentada en 50!"
op2desc,buffs,Buff,,,Overload speed\n\nSpeed ​​increased!\nIncreased Stamina Regeneration\nTrade improved by 30%! *They won't be able to ask you for the money if they can't catch you*,"Velocidad de sobrecarga\n\nVelocidad aumentada!\nRegeneración de Estamina Aumentada\nComercio mejorado en 30%! *no podrán pedirte el dinero si no logran atraparte*","Velocidad de sobrecarga\n\nVelocidad aumentada!\nRegeneración de Estamina Aumentada\nComercio mejorado en 30%! *no podrán pedirte el dinero si no logran atraparte*"
op3desc,buffs,Buff,,,Protection blessing\n\nComplete elemental\nStamine cost reduced\nMaximun Carry capacity\nExperience gained increased by 50% !!,"Bendición de protección\n\nProtección elemental completa\nReducción en costo de estamina\nCapacidad de carga máxima\nExperiencia ganada aumentada en 50%!!","Bendición de protección\n\nProtección elemental completa\nReducción en costo de estamina\nCapacidad de carga máxima\nExperiencia ganada aumentada en 50%!!"
Pistola Legendaria,items,Gun,,,[Legend] Pistol,[Legendario] Revolver,[Legendario] Revolver
LWDS,items,Gun,,,One of the Legendary weapon that can be crafthed only by a true master,Una de las armas legendarias que solo puede ser creada por un verdadero maestro,Una de las armas legendarias que solo puede ser creada por un verdadero maestro
LWDMYT,items,Gun,,,"One of the Mytic weapons there is nothing stronger than this, once you have it you cant be stoped anymore","Una de las armas Míticas, una vez que tienes una, nada puede detenerte!","Una de las armas Míticas, una vez que tienes una, nada puede detenerte!"
LTDesc,items,Gun,,,One of the Legendary tools that can be crafthed only by a true master,Una de las herramientas legendarias que solo puede ser creada por un verdadero maestro,Una de las herramientas legendarias que solo puede ser creada por un verdadero maestro
UGLDesc,items,Gun,,,Definitive glasses that conbine all glasses and give extra xp/loot/trasure range,Lentes definitivos que combinan todos los bonus de los lentes además de dar xp/loot/radio de tesoros adicional,Lentes definitivos que combinan todos los bonus de los lentes además de dar xp/loot/radio de tesoros adicional
UGLDesc2,items,Gun,,,Definitive glasses with extra night vision,Lentes definitivos con visión nocturna,Lentes definitivos con visión nocturna
ESQLDesc,items,Gun,,,This is an schematic used to craft a legend weapon tier 2\nThis item cant be read and will be consumed when you craft the weapon,Este ítem es un esquema para un arma legendaria Tier 2\nEste ítem no puede ser leído y será consumido cuando creas el arma,Este ítem es un esquema para un arma legendaria Tier 2\nEste ítem no puede ser leído y será consumido cuando creas el arma
Recortada Legendaria,items,Gun,,,[Legend] Sawed-off,[Legendario] Recortada,[Legendario] Recortada
Rifle Legendario,items,Gun,,,[Legend] Hunting Rifle,[Legendario] Rifle de Caza,[Legendario] Rifle de Caza
AK47 Legendaria,items,Gun,,,[Legend] AK47,[Legendario] AK47,[Legendario] AK47
Magnum44 Legendaria,items,Gun,,,[Legend] Magnum44,[Legendario] Magnum44,[Legendario] Magnum44
SMG5_Legendaria,items,Gun,,,[Legend] SMG-5,[Legendario] SMG-5,[Legendario] SMG-5
Escopeta Legendaria,items,Gun,,,[Legend] Pump Shotgun,[Legendario] Escopeta de Pompeo,[Legendario] Escopeta de Pompeo
Francotirador Legendario,items,Gun,,,[Legend] Marksman Rifle,[Legendario] Rifle de Tirador,[Legendario] Rifle de Tirador
AR Tactico Legendario,items,Gun,,,[Legend] Tactic AR,[Legendario] AR Táctico,[Legendario] AR Táctico
LCBT1,items,Gun,,,[Legend] Iron Crossbow,[Legendario] Ballesta de Hierro,[Legendario] Ballesta de Hierro
LCBT2,items,Gun,,,[Legend] Compound Crossbow,[Legendario] Ballesta Compuesta,[Legendario] Ballesta Compuesta
junkTurretLegend,items,Gun,,,[Legend] Robotic Turret,[Legendario] Torreta Robotica,[Legendario] Torreta Robotica
