Key,File,Type,UsedInMainMenu,NoTranslate,english
{Item_in_code},{xml_file_itappears_in},{type_of_object eg:resouce/weapon},{true/false/null can leave blank},{true/false/null can leave blank},"{Localized_Name_Eng}"

Iphone14,items,item,,,"Iphone"
Iphone14Desc,items,item,,,"This is a Iphone, Open the sucker up and see what you get."

PS5,items,item,,,"Play Station 5"
PS5Desc,items,item,,,"This is a Play Station 5, Open the sucker up and see what you get."

XBOX,items,item,,,"Xbox Series X"
XBOXDesc,items,item,,,"This is a Xbox Series X, Open the sucker up and see what you get."

Wallet,items,item,,,"Wallet Full of Cash"
WalletDesc,items,item,,,"Gross Old Wallet, Let's see what's inside."

Purse,items,item,,,"Purse Full of Cash"
PurseDesc,items,item,,,"Gross Old purse, Let's see what's inside."

Watch,items,item,,,"Rolex Watch"
watchDesc,items,item,,,"Back in the day these watches were worth a lot of money, I wonder if that's still the case."

GoldBracelet,items,item,,,"Gold Bracelet"
GoldBraceletDesc,items,item,,,"A heavy Gold bracelet, It could be worth something or we can melt it down?."

Goldingot,items,item,,,"Gold Ingot"
GoldingotDesc,items,item,,,"A heavy Gold Ingot, This has to be worth something!."

PortableWeaponcaseCrossbow,items,item,,,"[33FF00]UNLOCKED*[ffffff] CrossBow Travel Case"
PortableWeaponcaseCrossbowDesc,items,item,,,"A heavy Duty crossbow travel case for hunting game, But now we have zombies this will be very useful!."

PortableWeaponcaseVulture,items,item,,,"[33FF00]UNLOCKED*[ffffff] Pistol Travel Case Vulture"
PortableWeaponcaseVultureDesc,items,item,,,"A heavy Duty 44 travel case for Keeping pistols out of reach!."

PortableWeaponcaseMagnum,items,item,,,"[33FF00]UNLOCKED*[ffffff] Pistol Travel Case Magnum"
PortableWeaponcaseMagnumDesc,items,item,,,"A heavy Duty .44 travel case for Keeping pistols out of reach!."

PortableWeaponcasePistol,items,item,,,"[33FF00]UNLOCKED*[ffffff] Pistol Travel Case 9mm"
PortableWeaponcasePistolDesc,items,item,,,"A heavy Duty 9mm travel case for Keeping pistols out of reach!."


PortableWeaponcaseCrossbowlocked,items,item,,,"[ff0000]LOCKED*[ffffff] CrossBow Travel Case"
PortableWeaponcaseCrossbowlockedDesc,items,item,,,"A heavy Duty crossbow travel case for hunting game, But now we have zombies this will be very useful!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"

PortableWeaponcaseVulturelocked,items,item,,,"[ff0000]LOCKED*[ffffff] Pistol Travel Case Vulture"
PortableWeaponcaseVulturelockedDesc,items,item,,,"A heavy Duty 44 travel case for Keeping pistols out of reach!.

[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"

PortableWeaponcaseMagnumlocked,items,item,,,"[ff0000]LOCKED*[ffffff] Pistol Travel Case Magnum"
PortableWeaponcaseMagnumlockedDesc,items,item,,,"A heavy Duty .44 travel case for Keeping pistols out of reach!.

[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"

PortableWeaponcasePistollocked,items,item,,,"[ff0000]LOCKED*[ffffff] Pistol Travel Case 9mm"
PortableWeaponcasePistollockedDesc,items,item,,,"A heavy Duty 9mm travel case for Keeping pistols out of reach!.

[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"


PortableWeaponcaseshotgunlocked,items,item,,,"[ff0000]LOCKED*[ffffff] Pump Action Shotgun Travel Case"
PortableWeaponcaseshotgunlockedDesc,items,item,,,"A heavy Shotgun in a travel case for hunting game, But now we have zombies this will be very useful!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseshotgundoublelocked,items,item,,,"[ff0000]LOCKED*[ffffff] Double Barrel Shotgun Travel Case"
PortableWeaponcaseshotgundoublelockedDesc,items,item,,,"A heavy Double Barrel Shotgun in a travel case for Holding up banks, But now we have zombies this will be very useful!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseAK47locked,items,item,,,"[ff0000]LOCKED*[ffffff] AK47 Travel Case"
PortableWeaponcaseAK47lockedDesc,items,item,,,"Not sure why someone would have an AK47, But whom are we to judge!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseM4locked,items,item,,,"[ff0000]LOCKED*[ffffff] M4 Travel Case"
PortableWeaponcaseM4lockedDesc,items,item,,,"Not sure why someone would have an M4, But thank the lord they did!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseMP5locked,items,item,,,"[ff0000]LOCKED*[ffffff] MP5 Travel Case"
PortableWeaponcaseMP5lockedDesc,items,item,,,"Such an awesome find a MP5 case lets hope it's in good condition!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseHuntingriflelocked,items,item,,,"[ff0000]LOCKED*[ffffff] Sniper Travel Case"
PortableWeaponcaseHuntingriflelockedDesc,items,item,,,"Hunting rifle case, Looks to be in good condition!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseleaverriflelocked,items,item,,,"[ff0000]LOCKED*[ffffff] Leaver Action Rifle Travel Case"
PortableWeaponcaseleaverriflelockedDesc,items,item,,,"Leaver rifle case, Looks to be in good condition its been in the elements a long time!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]
Needs a key to be unlocked

"
PortableWeaponcaseshotgun,items,item,,,"[33FF00]UNLOCKED*[ffffff] Pump Action Shotgun Travel Case"
PortableWeaponcaseshotgunDesc,items,item,,,"A heavy Shotgun in a travel case for hunting game, But now we have zombies this will be very useful!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"
PortableWeaponcaseshotgundouble,items,item,,,"[33FF00]UNLOCKED*[ffffff] Double Barrel Shotgun Travel Case"
PortableWeaponcaseshotgundoubleDesc,items,item,,,"A heavy Double Barrel Shotgun in a travel case for Holding up banks, But now we have zombies this will be very useful!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"
PortableWeaponcaseAK47,items,item,,,"[33FF00]UNLOCKED*[ffffff] AK47 Travel Case"
PortableWeaponcaseAK47Desc,items,item,,,"Not sure why someone would have an AK47, But whom are we to judge!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"
PortableWeaponcaseM4,items,item,,,"[33FF00]UNLOCKED*[ffffff] M4 Travel Case"
PortableWeaponcaseM4Desc,items,item,,,"Not sure why someone would have an M4, But thank the lord they did!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"
PortableWeaponcaseMP5,items,item,,,"[33FF00]UNLOCKED*[ffffff] MP5 Travel Case"
PortableWeaponcaseMP5Desc,items,item,,,"Such an awesome find a MP5 case lets hope it's in good condition!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"
