Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish

foodCropWheat,items,Food,New,Raw Wheat,,,,,
foodCropWheatDesc,items,Food,New,"Raw wheat grain serves as an important staple food. It can be crafted into flour, another important crafting ingredient.",,,,,

foodCropTomato,items,Food,New,Tomato,,,,,
foodCropTomatoDesc,items,Food,New,"The edible berry of the plant Solanum lycopersicum, commonly known as a tomato.",,,,,

foodCropOnion,items,Food,New,Onion,,,,,
foodCropOnionDesc,items,Food,New,"A vegetable that is a widely cultivated species of the genus Allium.",,,,,

foodCropCabbage,items,Food,New,Cabbage,,,,,
foodCropCabbageDesc,items,Food,New,"One of several cultivars of Brassica oleracea a leafy green biennial plant. Useful as food for it's fiber content.",,,,,

foodCropApple,items,Food,New,An Apple,,,,,
foodCropAppleDesc,items,Food,New,"Apples are fruits harvested from trees and used in creation of various dishes and cider.",,,,,

foodFlour,items,Food,New,Bag of Flour,,,,,
foodFlourDesc,items,Food,New,"Flour is an essential cooking ingredient made from wheat.",,,,,

foodButter,items,Food,New,Stick of Butter,,,,,
foodButterDesc,items,Food,New,"Fatty dairy product made from whole milk.",,,,,

drinkJarMilk,items,Food,New,Bottle of Milk,,,,,
drinkJarMilkDesc,items,Food,New,"Milk is a rare commodity in the wasteland. This bottle of whole milk can be used to make butter,which is another important ingredient. ",,,,,

foodBagRice,items,Food,New,Bag of Rice,,,,,
foodBagRiceDesc,items,Food,New,"Excellent foodstuff for raw calories.",,,,,
foodCanTomato,items,Food,New,Italian Canned Tomatoes,,,,,
foodCanTomatoDesc,items,Food,New,"A can of whole tomatoes that can serve as the bedrock of many sauces.",,,,,
foodCanSalsa,items,Food,New,Spicy Jalapeno Salsa,,,,,
foodCanSalsaDesc,items,Food,New,"Spicy and tangy dressing for nearly any food.",,,,,

foodGravy,items,Food,New,Rich Gravy,,,,,
foodGravyDesc,items,Food,New,"Meat gravy made from meat. A great topping for many dishes.",,,,,
foodRichBroth,items,Food,New,Rich Broth,,,,,
foodRichBrothDesc,items,Food,New,"An intense bone broth full of vitamins and nutrients.",,,,,
foodCheese,items,Food,New,Cheese,,,,,
foodCheeseDesc,items,Food,New,"A homemade dairy product useful in several recipes.",,,,,

foodPorridge,items,Food,New,Porridge,,,,,
foodPorridgeDesc,items,Food,New,"A carbohydrate rich porridge made from wheat.",,,,,

foodMashedPotato,items,Food,New,Plate of Mashed Potatoes,,,,,
foodMashedPotatoDesc,items,Food,New,"Creamy,buttery mashed potatoes full of fat and carbs, but mostly fat.",,,,,

foodAppleJam,items,Food,New,Jar of Apple Jam,,,,,
foodAppleJamDesc,items,Food,New,"Sugary fruit preserves excellent for hungry survivors.",,,,,

foodBlueberryJam,items,Food,New,Jar of Blueberry Jam,,,,,
foodBlueberryJamDesc,items,Food,New,"Sugary fruit preserves excellent for hungry survivors.",,,,,

foodBiscuit,items,Food,New,Buttermilk Biscuit,,,,,
foodBiscuitDesc,items,Food,New,"Homemade biscuits that bring back memories of the pre-apocalypse.",,,,,

foodBread,items,Food,New,Loaf of Bread,,,,,
foodBreadDesc,items,Food,New,"Favorite hobby of pandemic first-time cooks with too much time.",,,,,

foodHoneyham,items,Food,New,Honey Ham,,,,,
foodHoneyhamDesc,items,Food,New,"Well smoked and cured ham with a tinge of honey sweetness.",,,,,

foodFruitPlatter,items,Food,New,Bowl of Fruit,,,,,
foodFruitPlatterDesc,items,Food,New,"A light but very healthly assortment of fruits for all of your diet needs.",,,,,

foodApplepie,items,Food,New,Apple Pie,,,,,
foodApplepieDesc,items,Food,New,"A pie-full of malus domestica...",,,,,

foodHamburger,items,Food,New,Buger and Fries,,,,,
foodHamburgerDesc,items,Food,New,"Plate of murica' coming right for your arteries. \nPraise the griddle gods...",,,,,

foodTonjiru,items,Food,New,Miso Tonjiru,,,,,
foodTonjiruDesc,items,Food,New,"A miso based dish of meat and veggies combined into a stew. Helps stimulate your inner nerd.",,,,,
buffTonjiruName,buffs,Buff,New,Focused Engineering,,,,,
buffTonjiruDesc,buffs,Buff,New,A nutrient rich meal has granted you faster crafting speed.,,,,,

foodBOC,items,Food,New,Breakfast of Champions,,,,,
