Key,English
SSChest,SS Magic Ice Writable Storage
SSChestDesc,Added by SS_WritableStorage by SrslySunshine. Cool Storage! Cool Fonts! MAGIC! Enjoy!
SSChest2,SS Magic Lightning Writable Storage
SSChest2Desc,Added by SS_WritableStorage by SrslySunshine. Cool Storage! Cool Fonts! MAGIC! Enjoy!
SSChest3,SS Magic Fire Writable Storage
SSChest3Desc,Added by SS_WritableStorage by SrslySunshine. Cool Storage! Cool Fonts! MAGIC! Enjoy!
SSChest4,SS Magic Holy Writable Storage
SSChest4Desc,Added by SS_WritableStorage by SrslySunshine. Cool Storage! Cool Fonts! MAGIC! Enjoy!
SSChest5,SS Magic Unholy Writable Storage
SSChest5Desc,Added by SS_WritableStorage by SrslySunshine. Cool Storage! Cool Fonts! MAGIC! Enjoy!
SSBox,SS Cardboard Writable Storage
SSBoxDesc,Added by SS_WritableStorage by SrslySunshine.
SSStinkyBox,SS Stinky Cardboard Writable Storage
SSStinkyBoxDesc,Added by SS_WritableStorage by SrslySunshine.
SSSciFiBox,SS SciFi Writable Storage Green
SSSciFiBoxDesc,Added by SS_WritableStorage by SrslySunshine.
SSSciFiBox2,SS SciFi Writable Storage Blue
SSSciFiBox2Desc,Added by SS_WritableStorage by SrslySunshine.
SSSciFiBox3,SS SciFi Writable Storage Red
SSSciFiBox3Desc,Added by SS_WritableStorage by SrslySunshine.
SSSciFiBox4,SS SciFi Writable Storage Green Text
SSSciFiBox4Desc,Added by SS_WritableStorage by SrslySunshine.
SSSciFiBox5,SS SciFi Writable Storage Red Text
SSSciFiBox5Desc,Added by SS_WritableStorage by SrslySunshine.
SSSciFiBox6,SS SciFi Writable Storage Blue Text
SSSciFiBox6Desc,Added by SS_WritableStorage by SrslySunshine.
SSBoxFloat,SS SciFi Writable Storage Floating Text
SSBoxFloatDesc,Added by SS_WritableStorage by SrslySunshine.
