Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
fourSkillPoint_P1,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad (Prestige)",
fourSkillPoint_P2,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad (Prestige 2)"
fourSkillPointDesc,items,Desc,,,This item gives you 4 extra skill point to use.,Este item te dará 4 punto de skill adicional para usar.

prs2key,progression,Attribute,,,Prestige,Prestigio,Prestigio
skillPrestige,progression,Attribute,,,Prestige 1 unlocked,Prestigio 1 desbloqueado,Prestigio 1 desbloqueado
skillPrestigedesc,progression,Attribute,,,This is a skill for all those who have decided to start over in search of a greater power.,Esta es una skill para todos aquellos que han decidido comenzar de nuevo en busca de un poder mayor,Esta es una skill para todos aquellos que han decidido comenzar de nuevo en busca de un poder mayor
prestige2Badgenamekey,progression,Attribute,,,Prestige 2,Prestigio 2,Prestigio 2
prbkeydesc1,progression,Attribute,,,Prestige Attribute,Atributo Prestigio,Atributo Prestigio
prbkeydesc2,progression,Attribute,,,Prestige 2 - Ancient Weapons,Prestigio 2 - Armas Ancestrales,Prestigio 2 - Armas Ancestrales
prbkeydescu,progression,Attribute,,,Prestige Master,Maestro del Prestigio,Maestro del Prestigio
prbkeylongdesc1,progression,Attribute,,,Unlock Prestige Attribute and skills\n\n-50% XP gained,Desbloquea el attributo prestigio y skills\n\n-50% XP ganada,Desbloquea el attributo prestigio y skills\n\n-50% XP ganada
prbkeylongdesc2,progression,Attribute,,,Unlock Craft and usage of Ancient Items\n\n-75% XP gained,Desbloquea la creacion y uso de los Items Ancestrales\n\n-75% XP ganada,Desbloquea la creacion y uso de los Items Ancestrales\n\n-75% XP ganada
prbkeylongdescu,progression,Attribute,,,You have master all the prestiges in the server!, Has maestreado todos los presgios del servidor!, Has maestreado todos los presgios del servidor!

prs2perk,progression,Attribute,,,Prestige Attribute Buy: 1,Atributo Prestigio Comprar: 1 Punto,Atributo Prestigio Comprar: 1 Punto
prs2perkdesc,progression,Attribute,,,Unlock Prestige,Desbloquea el Prestigio,Desbloquea el Prestigio
prs2perklongdesc,progression,Attribute,,,"Once you reach max lvl you can ask an admin to reset your character in exchange for new skills and items! But carefull because you will win less experience once you apply it!","Una ves que llegues a lvl maximo puedes pedirle a un admin que te haga un reset a cambio de nuevas skills de prestigio, ¡Pero cuidado una vez que lo hagas recibirás menos experiencia una vez lo apliques!","Una ves que llegues a lvl maximo puedes pedirle a un admin que te haga un reset a cambio de nuevas skills de prestigio, ¡Pero cuidado una vez que lo hagas recibirás menos experiencia una vez lo apliques!"
Phys,progression,Attribute,,,Physical,Fisico,Fisico
Ment,progression,Attribute,,,Arts,Artes,Artes
Rang,progression,Attribute,,,Specialist,Especialista,Especialista
perkMHS,progression,Attribute,,,Status Master,Maestro de los Status,Maestro de los Status
perkMHSinfo,progression,Attribute,,,Now you can get the maximun Life and Stamina!,Ahora puedes aumentar tu vida y resistencia al Máximo,Ahora puedes aumentar tu vida y resistencia al Máximo
