Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish

electricianT5,progression,Attribute,,,Tier 5: Powered Reinforced Doors,Nivel 5: Puertas reforzadas con alimentación
woodenGarageDoor3x3WhiteCentered,blocks,block,,,White Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera blanca 3x3 [Centrada]
woodenGarageDoor3x3BrownCentered,blocks,block,,,Brown Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera marrón 3x3 [Centrada]
woodenGarageDoor3x3RedCentered,blocks,block,,,Red Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera roja 3x3 [Centrada]
woodenGarageDoor3x3OrangeCentered,blocks,block,,,Orange Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera naranja 3x3 [Centrada]
woodenGarageDoor3x3YellowCentered,blocks,block,,,Yellow Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera amarilla 3x3 [Centrada]
woodenGarageDoor3x3GreenCentered,blocks,block,,,Green Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera verde 3x3 [Centrada]
woodenGarageDoor3x3BlueCentered,blocks,block,,,Blue Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera azul 3x3 [Centrada]
woodenGarageDoor3x3GreyCentered,blocks,block,,,Grey Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera gris 3x3 [Centrada]
woodenGarageDoor3x3OakCentered,blocks,block,,,Oak Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera de roble 3x3 [Centrada]
woodenGarageDoor3x3Centered_PoweredWhite,blocks,block,,,White Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera blanca 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredBrown,blocks,block,,,Brown Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera marrón 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredRed,blocks,block,,,Red Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera roja 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredOrange,blocks,block,,,Orange Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera naranja 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredYellow,blocks,block,,,Yellow Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera amarilla 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredGreen,blocks,block,,,Green Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera verde 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredBlue,blocks,block,,,Blue Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera azul 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredGrey,blocks,block,,,Grey Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera gris 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredOak,blocks,block,,,Oak Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera de roble 3x3 [Centered](con alimentación)

woodenGarageDoor4x3WhiteCentered,blocks,block,,,White Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera blanca 4x3 [Centrada]
woodenGarageDoor4x3BrownCentered,blocks,block,,,Brown Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera marrón 4x3 [Centrada]
woodenGarageDoor4x3RedCentered,blocks,block,,,Red Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera roja 4x3 [Centrada]
woodenGarageDoor4x3OrangeCentered,blocks,block,,,Orange Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera naranja 4x3 [Centrada]
woodenGarageDoor4x3YellowCentered,blocks,block,,,Yellow Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera amarilla 4x3 [Centrada]
